年份,粗钢产量,短流程占比,氢冶金占比,长流程吨钢耗废钢,绿电降碳潜力,低碳工艺累计降碳潜力,产量变化降碳潜力,短流程降碳潜力,氢冶金降碳潜力,长流程占比,原料优化降碳潜力,绿电降碳潜力_new,低碳工艺降碳潜力_new,技术减排总量,目标碳强度,目标排放,CCUS捕集量,CCUS占比
2024,100509,10.0,1.0,26835.903,0.0,0.0,0.0,0.0,0.0,0.89,3024652841.7417016,0.0,0.0,3024652841.7417016,1.95,195992.55,-3024652841.7417016,-inf
2025,96081,10.33333333333333,1.133333333333333,25519.113600000004,587.4237169185002,64.054,8634.6,432.36449999999616,19.21619999999998,0.8853333333333334,2735104724.6367693,587.4237169185002,64.054,2735114462.295186,1.954,187742.274,-2735106212.019186,-33151693.49500063
2026,94000,10.66666666666667,1.266666666666667,24834.799999999996,1150.3991659999997,187.99999999999997,12692.55,846.0000000000039,37.600000000000094,0.8806666666666666,2590382777.412804,1150.3991659999997,187.99999999999997,2590397691.9619703,1.923,180762.0,-2590382461.41197,-17007806.424453024
2027,92500,11.0,1.4,24309.0,1699.53501375,370.0,15617.55,1248.75,55.50000000000004,0.876,2481856418.8383684,1699.53501375,370.0,2481875410.1733823,1.891,174917.5,-2481854335.123382,-11776267.838514835
2028,91000,11.33333333333333,1.533333333333333,23787.4,2231.231366,606.6666666666667,18542.55,1637.9999999999966,72.80000000000001,0.8713333333333334,2376491510.2854524,2231.231366,606.6666666666667,2376514601.5334854,1.86,169260.0,-2376487868.983485,-8889865.98347905
2029,89500,11.66666666666667,1.666666666666667,23269.999999999996,2745.4404687499996,895.0000000000002,21467.55,2013.7500000000036,89.50000000000013,0.8666666666666666,2274232845.610055,2745.4404687499996,895.0000000000002,2274260056.850524,1.829,163695.5,-2274227759.8005238,-7041595.93457326
2030,88000,12.0,1.8,22756.8,3242.114568,1232.0000000000002,24392.55,2376.0,105.6000000000001,0.862,2175025663.1961784,3242.114568,1232.0000000000002,2175057011.460747,1.798,158224.0,-2175019242.9107466,-5758810.552429899
2031,86800,12.8,2.04,22175.664,3759.6646605055994,1753.3600000000001,26732.55,3281.040000000001,135.40800000000013,0.8516,2065356731.4945884,3759.6646605055994,1753.3600000000001,2065392393.5172486,1.76,152768.0,-2065349168.9672487,-4778185.473231131
2032,85600,13.6,2.28,21602.016,4263.8550600128,2448.1600000000003,29072.55,4160.16,164.35200000000012,0.8412,1959883141.8335996,4263.8550600128,2448.1600000000003,1959923250.9106598,1.722,147403.2,-1959874661.56066,-4033547.8074197466
2033,84400,14.4,2.52,21035.856,4754.594384467199,3308.4800000000005,31412.55,5013.360000000001,192.4320000000002,0.8308,1858496648.212367,4754.594384467199,3308.4800000000005,1858541329.6287513,1.684,142129.6,-1858487466.6787512,-3450400.4453471373
2034,83200,15.2,2.76,20477.183999999997,5231.791251814399,4326.400000000001,33752.549999999996,5840.64,219.64800000000014,0.8204,1761090417.597674,5231.791251814399,4326.400000000001,1761139788.626926,1.646,136947.19999999998,-1761080743.276926,-2982590.0655678567
2035,82000,16.0,3.0,19926.0,5695.3542800000005,5494.0,36092.549999999996,6642.0,246.00000000000023,0.8099999999999999,1667559029.9239347,5695.3542800000005,5494.0,1667613199.8282146,1.607,131774.0,-1667548981.2782147,-2596678.0334957
2036,81200,17.2,3.6,19293.12,6344.914375519999,6820.8,37652.549999999996,7892.64,316.68000000000023,0.792,1563311859.3211398,6344.914375519999,6820.8,1563370886.9055154,1.516,123099.2,-1563297993.5555155,-2144637.3277638643
2037,80500,18.4,4.2,18692.1,6993.619462199999,8291.5,39017.549999999996,9128.699999999999,386.4000000000003,0.774,1467427340.5151978,6993.619462199999,8291.5,1467491158.28466,1.424,114632.0,-1467409797.7346601,-1803588.8372626784
2038,79800,19.6,4.8,18098.64,7634.410331520001,9895.2,40382.549999999996,10342.080000000002,454.8600000000004,0.756,1375726195.9087915,7634.410331520001,9895.2,1375794905.0091228,1.333,106373.4,-1375705285.859123,-1535057.2794556955
2039,79200,20.8,5.4,17534.879999999997,8277.62487552,11642.400000000001,41552.549999999996,11547.36,522.7200000000005,0.738,1291354336.8175423,8277.62487552,11642.400000000001,1291427879.4724178,1.241,98287.20000000001,-1291330174.122418,-1321657.5900129096
2040,78600,22.0,6.0,16977.6,8914.477949999999,13519.2,42722.549999999996,12733.2,589.5000000000006,0.72,1210576148.529141,8914.477949999999,13519.2,1210654627.457091,1.15,90390.0,-1210549024.9070911,-1146325.562126708
2041,78000,23.0,6.5,16497.0,9224.496917999999,15405.0,43892.549999999996,13689.0,643.5000000000006,0.7050000000000001,1143007770.0118215,9224.496917999999,15405.0,1143090624.5587394,1.075,83850.0,-1142978482.0087395,-1019219.272264832
2042,77400,24.0,7.0,16021.799999999997,9530.5475286,17298.9,45062.549999999996,14628.6,696.6000000000006,0.69,1078106210.6307406,9530.5475286,17298.9,1078193427.828269,1.0,77400.0,-1078074835.278269,-909057.8078291618
2043,76800,25.0,7.5,15552.0,9832.5868032,19200.0,46232.549999999996,15552.000000000002,748.8000000000006,0.675,1015806805.1699002,9832.5868032,19200.0,1015898371.1067033,0.925,71040.0,-1015773418.5567033,-812927.3220571256
2044,76200,26.0,8.0,15087.599999999999,10130.5717632,21107.4,47402.549999999996,16459.2,800.1000000000007,0.66,956045623.2452989,10130.5717632,21107.4,956141523.067062,0.85,64770.0,-956010300.5170621,-728541.1695759681
2045,75600,27.0,8.5,14628.6,10424.459429999999,23020.200000000004,48572.549999999996,17350.2,850.5000000000008,0.645,898759469.3049374,10424.459429999999,23020.200000000004,898859687.2143674,0.775,58590.0,-898722284.6643674,-654079.7712012472
2046,75000,28.0,9.0,14175.0,10714.206825000001,24937.500000000007,49742.549999999996,18225.0,900.0000000000008,0.63,843885882.6288153,10714.206825000001,24937.500000000007,843990401.8856403,0.7,52500.0,-843846909.3356403,-588077.1575499361
2047,74500,29.0,9.5,13745.25,11014.555608,26894.500000000007,50717.549999999996,19109.25,949.8750000000008,0.615,793491916.8822513,11014.555608,26894.500000000007,793600602.6128592,0.625,46562.5,-793451172.5628593,-530985.0144352575
2048,74000,30.0,10.0,13320.0,11311.680996,28860.00000000001,51692.549999999996,19980.0,999.0000000000009,0.6,745152709.3908868,11311.680996,28860.00000000001,745265552.6218827,0.55,40700.0,-745110260.0718827,-479810.69283240667
2049,73500,31.0,10.5,12899.25,11605.5471735,30833.250000000007,52667.549999999996,20837.25,1047.375000000001,0.585,698820036.804722,11605.5471735,30833.250000000007,698937027.7768954,0.475,34912.5,-698775947.7268955,-433806.63696534873
2050,73000,32.0,11.0,12483.0,11896.118325,32813.50000000001,53642.549999999996,21681.0,1095.000000000001,0.57,654446186.0737567,11896.118325,32813.50000000001,654567314.2420816,0.4,29200.0,-654400521.6920817,-392343.97561058257
2051,72300,33.0,11.4,12059.639999999998,12167.254123794,34581.09000000001,55007.549999999996,22449.15,1127.880000000001,0.5559999999999999,610807302.6168959,12167.254123794,34581.09000000001,610932635.5410197,0.365,26389.5,-610763032.4910197,-360113.23646077793
2052,71600,34.0,11.8,11642.159999999998,12432.663231072,36222.44000000001,56372.549999999996,23198.4,1159.920000000001,0.5419999999999999,569248857.0730429,12432.663231072,36222.44000000001,569378243.0462738,0.33,23628.0,-569205878.4962739,-330233.72758286516
2053,70900,35.0,12.2,11230.560000000001,12692.294836578,37740.07000000001,57737.549999999996,23928.75,1191.120000000001,0.528,529708988.9257175,12692.294836578,37740.07000000001,529842278.71055406,0.295,20915.5,-529667201.66055405,-302533.7710799434
2054,70200,36.0,12.6,10824.84,12946.098130055998,39136.50000000001,59102.549999999996,24640.2,1221.4800000000012,0.514,492126708.93331933,12946.098130055998,39136.50000000001,492263755.7614494,0.26,18252.0,-492086015.2114494,-276856.3590083503
2055,69500,37.0,13.0,10425.0,13194.02230125,40414.25000000001,60467.549999999996,25332.75,1251.0000000000011,0.5,456441899.12912875,13194.02230125,40414.25000000001,456582558.70143,0.225,15637.5,-456402203.65143,-253057.62364369608
2056,68800,38.0,13.4,10031.039999999999,13436.016539903998,41575.84000000001,61832.549999999996,26006.4,1279.6800000000012,0.486,422595312.8213055,13436.016539903998,41575.84000000001,422739443.3078454,0.19,13072.0,-422556522.7578454,-231005.4954229133
2057,68200,39.0,13.8,9657.119999999999,13692.106438163997,42686.38000000001,63002.549999999996,26700.300000000003,1309.4400000000012,0.472,391676366.2323448,13692.106438163997,42686.38000000001,391823757.008783,0.155,10571.0,-391638335.458783,-211215.112514569
2058,67600,40.0,14.2,9288.24,13943.264239632,43689.880000000005,64172.549999999996,27378.0,1338.4800000000014,0.45799999999999996,362324987.5968877,13943.264239632,43689.880000000005,362475509.77112734,0.12,8112.0,-362287629.22112733,-192828.70378072897
2059,67100,41.0,14.6,8937.720000000001,14210.624670857998,44655.05,65147.549999999996,28081.350000000002,1368.8400000000013,0.44400000000000006,335493583.2745651,14210.624670857998,44655.05,335647046.689236,0.085,5703.5,-335456757.639236,-176287.99851552938
2060,66600,42.0,15.0,8591.400000000001,14474.0750364,45521.100000000006,66122.55,28771.2,1398.6000000000013,0.43000000000000005,309997262.58912206,14474.0750364,45521.100000000006,310153550.1141585,0.05,3330.0,-309960887.5641585,-160882.79095451572
