年份,粗钢产量,短流程占比,氢冶金占比,绿电降碳原始,低碳工艺降碳原始,原料优化原始,目标碳强度,产量变化降碳,短流程降碳,氢冶金降碳,原料优化降碳,技术减排_不含绿电工艺,目标排放,CCUS原始_不含绿电工艺,绿电工艺最大值,绿电降碳调整,低碳工艺调整,技术减排总计,CCUS,CCUS占比
2024,100509,10.0,1.0,0.0,0.0,-0.0024545454639750956,1.95,0.0,0.0,0.0,0.0,0.0,195992.55,0.0,0.0,0.0,0.0,0.0,0.0,
2025,96081,12.0,1.3,783.826395975,80.0675,-1407.7296818181783,1.947,8634.6,2594.187,43.23645000000005,0.0,11272.02345,187069.707,-2349.1804500000144,-2349.1804500000144,-2349.1804500000144,0.0,8922.842999999986,0.0,0.0
2026,93000,14.0,1.6,1519.8506399999999,232.50000000000006,-2226.81272727273,1.905,14642.55,5022.0,83.70000000000009,0.0,19748.25,177165.0,-920.7000000000116,-920.7000000000116,-920.7000000000116,0.0,18827.54999999999,0.0,0.0
2027,91000,15.604001301236174,1.813858165256994,2234.3698649999997,455.0000000000001,-2559.403636363639,1.853,18542.55,6884.51559856864,111.09163955757978,0.0,25538.15723812622,168623.0,1831.3927618737798,1831.3927618737798,1831.3927618737798,0.0,27369.55,0.0,0.0
2028,89000,17.0,2.0,2918.406119999999,741.6666666666669,-2919.812727272736,1.812,22442.55,8410.5,133.5000000000001,0.0,30986.55,161268.0,3738.0,3738.0,2918.406119999999,741.6666666666669,34646.62278666666,77.92721333331428,0.22441532959624919
2029,87000,18.458994795055304,2.232067338972023,3571.8002250000004,1087.5,-3308.0400000000027,1.78,26342.55,9935.089386792455,160.78478773584916,0.0,36438.42417452831,154860.0,4694.125825471681,4694.125825471681,3571.8002250000004,1087.5,41097.724399528306,34.825600471696816,0.0846667674911884
2030,85000,20.0,2.5,4194.393,1487.5000000000002,-3724.085454545457,1.744,30242.55,11475.0,191.25000000000017,0.0,41908.8,148240.0,5843.75,5843.75,4194.393,1487.5000000000002,47590.693,161.85699999998906,0.3389494383022249
2031,83500,21.583867273910215,2.7784671437865973,4752.696687199999,2129.25,-3424.140000000001,1.669,33167.549999999996,13057.91438451529,222.75300975927155,0.0,46448.21739427456,139361.5,10182.832605725445,10182.832605725445,4752.696687199999,2129.25,53330.164081474555,3300.885918525426,5.828756342192891
2032,82000,23.190782042940793,3.0647573194534807,5291.9369776,2993.0000000000005,-3162.485454545459,1.594,36092.549999999996,14602.195721535458,253.96515029277836,0.0,50948.71087182823,130708.0,14335.839128171763,14335.839128171763,5291.9369776,2993.0000000000005,59233.647849428235,6050.902150571754,9.26850556612821
2033,80800,24.805763175016267,3.3618139232270656,5833.572608639998,4080.4,-2774.4709090909096,1.52,38432.549999999996,16150.126471307745,286.2518474951206,0.0,54868.928318802864,122816.0,18307.62168119714,18307.62168119714,5833.572608639998,4080.4,64782.90092744286,8393.649072557135,11.470408310527262
2034,79600,26.413829538061155,3.672580351333767,6360.367569919999,5373.0,-2417.089090909095,1.445,40772.549999999996,17638.301221600515,319.10609394925206,0.0,58729.957315549764,115022.0,22240.59268445021,22240.59268445021,6360.367569919999,5373.0,70463.32488546976,10507.225114530229,12.976600893201578
2035,78500,28.0,4.0,6880.92692,6868.750000000001,-2032.9036363636392,1.37,42917.549999999996,19075.5,353.25000000000034,0.0,62346.299999999996,107545.00000000001,26101.249999999985,26101.249999999985,6880.92692,6868.750000000001,76095.97692,12351.573079999973,13.964856098331696
2036,77500,29.548668835393624,4.34709694209499,7484.770943999999,8486.250000000002,-1237.630909090912,1.266,44867.549999999996,20452.79476903058,389.100019518543,0.0,65709.44478854912,98115.0,32168.105211450864,32168.105211450864,7484.770943999999,8486.250000000002,81680.46573254913,16197.08426745086,16.548313957031883
2037,76500,31.041731945348083,4.717217957059207,8076.2901912,10212.75,-477.7036363636339,1.162,46817.549999999996,21730.848666558235,426.55076057254433,0.0,68974.94942713078,88893.0,38124.60057286921,38124.60057286921,8076.2901912,10212.75,87263.98961833077,19835.560381669216,18.52067574669475
2038,75500,32.46046063760572,5.113790500975926,8655.2681768,12042.25,246.87818181817715,1.058,48767.549999999996,22892.824504879634,465.88677423552406,0.0,72126.26127911515,79879.0,43987.28872088484,43987.28872088484,8655.2681768,12042.25,92823.77945591515,23289.770544084837,20.057754279397056
2039,74500,33.786126219908915,5.540242029928432,9221.488416,13968.75,936.114545454539,0.954,50717.549999999996,23922.896445673392,507.37204684450273,0.0,75147.8184925179,71073.0,49771.731507482094,49771.731507482094,9221.488416,13968.75,98338.0569085179,26581.493091482087,21.278889566510678
2040,73600,35.0,6.0,9788.033382399999,16008.0,1656.278181818179,0.85,52472.549999999996,24840.0,552.0000000000005,0.0,77864.54999999999,62560.0,55568.0,55568.0,9788.033382399999,16008.0,103660.58338239999,29771.966617600003,22.312371769556982
