年份,粗钢产量,短流程占比,氢冶金占比,绿电降碳原始,低碳工艺降碳原始,原料优化原始,目标碳强度,产量变化降碳,短流程降碳,氢冶金降碳,原料优化降碳,技术减排_不含绿电工艺,目标排放,CCUS原始_不含绿电工艺,绿电工艺最大值,绿电降碳调整,低碳工艺调整,技术减排总计,CCUS,CCUS占比
2024,100509,10.0,1.0,0.0,0.0,-0.0024545454639750956,1.95,0.0,0.0,0.0,0.0,0.0,195992.55,0.0,0.0,0.0,0.0,0.0,0.0,
2025,96081,11.5,1.2,587.4237169185002,64.054,-1730.0377636363557,1.954,8634.6,1945.64025,28.824300000000022,0.0,10609.064550000001,187742.274,-2358.7885500000266,-2358.7885500000266,-2358.7885500000266,0.0,8250.275999999974,0.0,0.0
2026,94000,13.0,1.4,1150.3991659999997,187.99999999999997,-2374.740000000002,1.923,12692.55,3807.0000000000005,56.40000000000004,0.0,16555.95,180762.0,-1325.4000000000233,-1325.4000000000233,-1325.4000000000233,0.0,15230.549999999977,0.0,0.0
2027,92500,14.099934938191282,1.5601740403383213,1699.53501375,370.0,-2755.7672727272757,1.891,15617.55,5119.793754066363,77.72414809694214,0.0,20815.067902163304,174917.5,259.982097836677,259.982097836677,259.982097836677,0.0,21075.04999999998,0.0,0.0
2028,91000,15.0,1.7,2231.231366,606.6666666666667,-3147.594545454552,1.86,18542.55,6142.5,95.55000000000007,0.0,24780.6,169260.0,1951.9499999999825,1951.9499999999825,1951.9499999999825,0.0,26732.54999999998,0.0,0.0
2029,89500,15.975260247234875,1.8468038386467145,2745.4404687499996,895.0000000000002,-3550.221818181815,1.829,21467.55,7219.608193721537,113.68341533832151,0.0,28800.84160905986,163695.5,3496.2083909401263,3496.2083909401263,2745.4404687499996,750.7679221901267,32297.049999999985,0.0,0.0
2030,88000,17.0,2.0,3242.114568,1232.0000000000002,-3963.64909090909,1.798,24392.55,8316.0,132.0000000000001,0.0,32840.55,158224.0,4928.0,4928.0,3242.114568,1232.0000000000002,37314.664568,453.88543199998094,1.2017549839747121
2031,86800,17.99463630448927,2.155247885491217,3759.6646605055994,1753.3600000000001,-3819.2432727272753,1.76,26732.55,9368.114821600526,150.41327469095657,0.0,36251.07809629149,152768.0,6973.4719037085015,6973.4719037085015,3759.6646605055994,1753.3600000000001,41764.10275679709,1460.4472432028851,3.378744817940004
2032,85600,18.96489785296031,2.3210982433311647,4263.8550600128,2448.1600000000003,-3695.102181818191,1.722,29072.55,10359.835958880934,169.6290144437217,0.0,39602.01497332466,147403.2,8987.335026675311,8987.335026675311,4263.8550600128,2448.1600000000003,46314.03003333746,2275.3199666625005,4.6827544856280285
2033,84400,19.93784124918673,2.5093246584255042,4754.594384467199,3308.4800000000005,-3591.2258181818192,1.684,31412.55,11323.17631932336,191.08050175666898,0.0,42926.80682108003,142129.6,10936.143178919941,10936.143178919941,4754.594384467199,3308.4800000000005,50989.88120554723,2873.06879445276,5.334035351670788
2034,83200,20.940523096942094,2.731700715679896,5231.791251814399,4326.400000000001,-3507.614181818178,1.646,33752.549999999996,12288.395542485361,216.1162493168512,0.0,46257.06179180221,136947.19999999998,12788.288208197802,12788.288208197802,5231.791251814399,4326.400000000001,55815.25304361661,3230.096956383408,5.470535709219112
2035,82000,22.0,3.0,5695.3542800000005,5494.0,-3444.2672727272757,1.607,36092.549999999996,13284.0,246.00000000000023,0.0,49622.549999999996,131774.0,14596.0,14596.0,5695.3542800000005,5494.0,60811.904279999995,3406.6457200000004,5.304768980302422
2036,81200,23.134558230318806,3.3224567338972024,6344.914375519999,6820.8,-2794.107272727273,1.516,37652.549999999996,14398.102732075475,282.8752301886795,0.0,52333.52796226415,123099.2,20559.822037735852,20559.822037735852,6344.914375519999,6820.8,65499.24233778415,7394.107662215843,10.143734184552972
2037,80500,24.327402732595967,3.69314769030579,6993.619462199999,8291.5,-2109.2399999999993,1.424,39017.549999999996,15570.304919648668,325.19758360442444,0.0,54913.052503253086,114632.0,26447.497496746888,26447.497496746888,6993.619462199999,8291.5,70198.17196545308,11162.378034546913,13.719644268072075
2038,79800,25.55296811971373,4.102610279765778,7634.410331520001,9895.2,-1442.9290909090923,1.333,40382.549999999996,16755.2125553676,371.382450487964,0.0,57509.145005855564,106373.4,32110.00499414443,32110.00499414443,7634.410331520001,9895.2,75038.75533737557,14580.394662624429,16.26928470379872
2039,79200,26.785689004554328,4.541381912817176,8277.62487552,11642.400000000001,-736.6090909090963,1.241,41552.549999999996,17947.25868366949,420.7161712426809,0.0,59920.52485491217,98287.20000000001,37784.825145087816,37784.825145087816,8277.62487552,11642.400000000001,79840.54973043216,17864.800269567815,18.284362391176963
2040,78600,28.0,5.0,8914.477949999999,13519.2,-46.19454545454474,1.15,42722.549999999996,19099.800000000003,471.6000000000004,0.0,62293.95,90390.0,43308.59999999998,43308.59999999998,8914.477949999999,13519.2,84727.62795,20874.922049999994,19.767441269173894
2041,78000,29.174829538061157,5.470405985686402,9224.496917999999,15405.0,456.0054545454517,1.075,43892.549999999996,20191.095503578403,523.0375003253095,-3.846223339820654e-12,64606.683003903694,83850.0,47535.8669960963,47535.8669960963,9224.496917999999,15405.0,89236.17992190369,22906.370078096297,20.42611843416821
2042,77400,30.307081327260896,5.950157449577099,9530.5475286,17298.9,944.950909090908,1.0,45062.549999999996,21218.86927885491,574.7132798959017,0.0,66856.13255875082,77400.0,51736.41744124917,51736.41744124917,9530.5475286,17298.9,93685.58008735083,24906.96991264916,21.00213707576839
2043,76800,31.398152895250487,6.438216005204945,9832.5868032,19200.0,1420.6418181818153,0.925,46232.549999999996,22185.604921795704,626.4824837996102,0.0,69044.63740559532,71040.0,55907.91259440467,55907.91259440467,9832.5868032,19200.0,98077.22420879532,26875.32579120467,21.508425231181494
2044,76200,32.449441769681194,6.933543266102798,10130.5717632,21107.4,1883.0781818181824,0.85,47402.549999999996,23093.740748471042,678.2039953155504,0.0,71174.49474378659,64770.0,60048.055256213396,60048.055256213396,10130.5717632,21107.4,102412.46650698659,28810.0834930134,21.95513156314475
2045,75600,33.46234547820429,7.435100845803514,10424.459429999999,23020.200000000004,2332.2600000000007,0.775,48572.549999999996,23945.669795055303,729.7404359141191,0.0,73247.96023096942,58590.0,64154.58976903057,64154.58976903057,10424.459429999999,23020.200000000004,106692.61966096942,30709.930339030572,22.350335084050897
2046,75000,34.43826154847105,7.941850357839948,10714.206825000001,24937.500000000007,2768.18727272727,0.7,49742.549999999996,24743.739817826936,780.958165256995,0.0,75267.24798308393,52500.0,68225.30201691606,68225.30201691606,10714.206825000001,24937.500000000007,110918.95480808394,32573.595191916043,22.700548001910935
2047,74500,35.378587508132725,8.452753415744956,11014.555608,26894.500000000007,3258.4827272727243,0.625,50717.549999999996,25524.51438630449,832.8451942094996,0.0,77074.90958051398,46562.5,72355.14041948601,72355.14041948601,11014.555608,26894.500000000007,114983.96518851398,34446.08481148601,23.051645108521353
2048,74000,36.284720884840596,8.9667716330514,11311.680996,28860.00000000001,3737.7327272727243,0.55,51692.549999999996,26258.436163955757,884.3116512687061,0.0,78835.29781522446,40700.0,76457.25218477553,76457.25218477553,11311.680996,28860.00000000001,119006.97881122447,36285.57118877552,23.365944592174912
2049,73500,37.15805920624593,9.482866623292129,11605.5471735,30833.250000000007,4205.93727272727,0.475,52667.549999999996,26947.584247397528,935.2360452179581,0.0,80550.37029261548,34912.5,80529.67970738451,80529.67970738451,11605.5471735,30833.250000000007,122989.1674661155,38090.88253388449,23.647175757571777
2050,73000,38.0,10.0,11896.118325,32813.50000000001,4663.09636363636,0.4,53642.549999999996,27594.0,985.5000000000009,0.0,82222.04999999999,29200.0,84570.5,84570.5,11896.118325,32813.50000000001,126931.668325,39860.88167499998,23.898478484200876
2051,72300,38.81194079375407,10.517133376707871,12167.254123794,34581.09000000001,4947.381818181814,0.365,55007.549999999996,28121.89481174366,1032.1331147039696,0.0,84161.57792644763,26389.5,85441.47207355236,85441.47207355236,12167.254123794,34581.09000000001,130909.92205024164,38693.127949758345,22.81393403583152
2052,71600,39.5952791151594,11.0332283669486,12432.663231072,36222.44000000001,5216.547272727269,0.33,56372.549999999996,28606.79679271308,1077.5687266102807,0.0,86056.91551932335,23628.0,86307.63448067664,86307.63448067664,12432.663231072,36222.44000000001,134712.01875039536,37652.531249604624,21.844707191591674
2053,70900,40.35141249186727,11.547246584255042,12692.294836578,37740.07000000001,5470.592727272732,0.295,57737.549999999996,29050.85446659076,1121.6996742355248,0.0,87910.10414082628,20915.5,87166.9458591737,87166.9458591737,12692.294836578,37740.07000000001,138342.4689774043,36734.581022595696,20.981951102440725
2054,70200,41.08173845152895,12.058149642160052,12946.098130055998,39136.50000000001,5709.518181818178,0.26,59102.549999999996,29456.163530513986,1164.4231573194545,0.0,89723.13668783344,18252.0,88017.41331216655,88017.41331216655,12946.098130055998,39136.50000000001,141805.73481788943,35934.81518211056,20.21756722487387
2055,69500,41.7876545217957,12.564899154196485,13194.02230125,40414.25000000001,5933.323636363633,0.225,60467.549999999996,29824.76685507482,1205.6407368249847,0.0,91497.95759189979,15637.5,88857.0924081002,88857.0924081002,13194.02230125,40414.25000000001,145106.22989314978,35248.82010685021,19.544127046539707
2056,68800,42.4705582303188,13.066456733897201,13436.016539903998,41575.84000000001,6142.0090909090895,0.19,61832.549999999996,30158.6544843201,1245.2583349381923,0.0,93236.46281925829,13072.0,89684.0871807417,89684.0871807417,13436.016539903998,41575.84000000001,148248.3193591623,34672.23064083769,18.95480340554284
2057,68200,43.13184710474952,13.561783994795054,13692.106438163997,42686.38000000001,6414.070909090908,0.155,63002.549999999996,30504.491629342887,1285.070502667535,0.0,94792.11213201043,10571.0,90629.43786798956,90629.43786798956,13692.106438163997,42686.38000000001,151170.59857017445,34250.95142982554,18.47193674620104
2058,67600,43.7729186727391,14.049842550422902,13943.264239632,43689.880000000005,6673.1727272727285,0.12,64172.549999999996,30821.165580741705,1323.2540346128833,0.0,96316.96961535458,8112.0,91563.58038464541,91563.58038464541,13943.264239632,43689.880000000005,153950.1138549866,33930.4361450134,18.05957888935997
2059,67100,44.39517046193885,14.529594014313597,14210.624670857998,44655.05,6999.970909090918,0.085,65147.549999999996,31156.865162947306,1361.7536375406648,0.0,97666.16880048797,5703.5,92622.88119951202,92622.88119951202,14210.624670857998,44655.05,156531.84347134596,33757.20652865403,17.739962719165415
2060,66600,45.0,15.0,14474.0750364,45521.100000000006,7315.969090909095,0.05,66122.55,31468.500000000004,1398.6000000000013,0.0,98989.65000000001,3330.0,93672.89999999998,93672.89999999998,14474.0750364,45521.100000000006,158984.8250364,33677.72496359999,17.480161538192032
