年份,粗钢产量,短流程占比,氢冶金占比,绿电降碳潜力,低碳工艺降碳潜力,产量变化降碳,短流程降碳,氢冶金降碳,原料优化降碳,技术减排总量,目标碳强度,目标排放,CCUS原始,CCUS拦截,CCUS占比
2024,100509,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.95,195992.55,0.0,0.0,
2025,96081,12.0,1.3,783.826395975,80.0675,8634.6,2594.187,43.23645000000005,0,12135.917345975,1.947,187069.707,-3213.0743459750083,0.0,0.0
2026,93000,14.0,1.6,1519.8506399999999,232.50000000000006,14642.55,5022.0,83.70000000000009,0,21500.60064,1.905,177165.0,-2673.0506400000013,0.0,0.0
2027,91000,15.604001301236174,1.813858165256994,2234.3698649999997,455.0000000000001,18542.55,6884.51559856864,111.09163955757978,0,28227.52710312622,1.853,168623.0,-857.9771031262353,0.0,0.0
2028,89000,17.0,2.0,2918.406119999999,741.6666666666669,22442.55,8410.5,133.5000000000001,0,34646.62278666666,1.812,161268.0,77.92721333331428,77.92721333331428,0.22441532959624919
2029,87000,18.458994795055304,2.232067338972023,3571.8002250000004,1087.5,26342.55,9935.089386792455,160.78478773584916,0,41097.724399528306,1.78,154860.0,34.825600471696816,34.825600471696816,0.0846667674911884
2030,85000,20.0,2.5,4194.393,1487.5000000000002,30242.55,11475.0,191.25000000000017,0,47590.693,1.744,148240.0,161.85699999998906,161.85699999998906,0.3389494383022249
2031,83500,21.583867273910215,2.7784671437865973,4752.696687199999,2129.25,33167.549999999996,13057.91438451529,222.75300975927155,0,53330.164081474555,1.669,139361.5,3300.885918525426,3300.885918525426,5.828756342192891
2032,82000,23.190782042940793,3.0647573194534807,5291.9369776,2993.0000000000005,36092.549999999996,14602.195721535458,253.96515029277836,0,59233.647849428235,1.594,130708.0,6050.902150571754,6050.902150571754,9.26850556612821
2033,80800,24.805763175016267,3.3618139232270656,5833.572608639998,4080.4,38432.549999999996,16150.126471307745,286.2518474951206,0,64782.90092744286,1.52,122816.0,8393.649072557135,8393.649072557135,11.470408310527262
2034,79600,26.413829538061155,3.672580351333767,6360.367569919999,5373.0,40772.549999999996,17638.301221600515,319.10609394925206,0,70463.32488546976,1.445,115022.0,10507.225114530229,10507.225114530229,12.976600893201578
2035,78500,28.0,4.0,6880.92692,6868.750000000001,42917.549999999996,19075.5,353.25000000000034,0,76095.97692,1.37,107545.00000000001,12351.573079999973,12351.573079999973,13.964856098331696
2036,77500,29.548668835393624,4.34709694209499,7484.770943999999,8486.250000000002,44867.549999999996,20452.79476903058,389.100019518543,0,81680.46573254913,1.266,98115.0,16197.08426745086,16197.08426745086,16.548313957031883
2037,76500,31.041731945348083,4.717217957059207,8076.2901912,10212.75,46817.549999999996,21730.848666558235,426.55076057254433,0,87263.98961833077,1.162,88893.0,19835.560381669216,19835.560381669216,18.52067574669475
2038,75500,32.46046063760572,5.113790500975926,8655.2681768,12042.25,48767.549999999996,22892.824504879634,465.88677423552406,0,92823.77945591515,1.058,79879.0,23289.770544084837,23289.770544084837,20.057754279397056
2039,74500,33.786126219908915,5.540242029928432,9221.488416,13968.75,50717.549999999996,23922.896445673392,507.37204684450273,0,98338.0569085179,0.954,71073.0,26581.493091482087,26581.493091482087,21.278889566510678
2040,73600,35.0,6.0,9788.033382399999,16008.0,52472.549999999996,24840.0,552.0000000000005,0,103660.58338239999,0.85,62560.0,29771.966617600003,29771.966617600003,22.312371769556982
2041,72800,36.088483409238776,6.495308392973325,10081.12918176,18054.4,54032.549999999996,25639.761494599872,600.0876765126876,0,108407.92835287255,0.782,56929.6,30655.02164712744,30655.02164712744,22.043989176935657
2042,72000,37.05849837345478,7.023677293428757,10367.4316032,20088.000000000004,55592.549999999996,26300.86041899805,650.5571476903062,0,112999.39916988836,0.714,51408.0,31585.150830111626,31585.150830111626,21.845453632571136
2043,71300,37.92209694209499,7.581433311646063,10661.827903159998,22138.65,56957.549999999996,26876.414411613532,703.884292680547,0,117338.32660745407,0.646,46059.8,32594.423392545912,32594.423392545912,21.739362075694544
2044,70600,38.69133116460637,8.16490305790501,10950.412435199998,24180.500000000004,58322.549999999996,27345.707732986328,758.7632338321412,0,121557.93340201846,0.578,40806.799999999996,33627.81659798153,33627.81659798153,21.669397221060265
2045,69900,39.37825309043591,8.77041314248536,11233.127257799999,26212.5,59687.549999999996,27722.78852878985,814.7278179895907,0,125670.69360457943,0.51,35649.0,34672.85639542056,34672.85639542056,21.62410424081328
2046,69300,39.99491476903058,9.394290175666884,11526.54725376,28274.4,60857.549999999996,28061.742512166562,872.5864637605733,0,129592.82622968714,0.442,30630.6,35769.12377031285,35769.12377031285,21.63080670632685
2047,68700,40.55336824983735,10.032860767729343,11815.112259719997,30331.05,62027.549999999996,28336.72138331165,930.8363021145096,0,133441.26994514614,0.374,25693.8,36857.48005485385,36857.48005485385,21.642836518091794
2048,68200,41.06566558230319,10.682451528952503,12116.538797439998,32429.100000000002,63002.549999999996,28602.158301626547,990.514791411842,0,137140.86189047838,0.306,20869.2,37982.48810952161,37982.48810952161,21.688991279302055
2049,67700,41.543858815875076,11.339389069616134,12414.1526558,34527.0,63977.549999999996,28829.509764769027,1049.9649600195191,0,140798.17738058855,0.238,16112.599999999999,39081.772619411444,39081.772619411444,21.72658632571971
2050,67200,42.0,12.0,12707.912448,36624.0,64952.549999999996,29030.4,1108.800000000001,0,144423.662448,0.17,11424.0,40144.887552,40144.887552,21.750665295902255
2051,66600,42.44614118412491,12.660610930383864,12905.536073471998,38528.1,66122.55,29172.325538646706,1164.895031945349,0,147893.40664406406,0.154,10256.4,37842.74335593593,37842.74335593593,20.374463105828312
2052,66000,42.89433441769681,13.317548471047497,13098.89927808,40293.0,67292.55,29308.85196616786,1219.4372986337032,0,151212.73854288156,0.138,9108.0,35671.81145711843,35671.81145711843,19.087619312093178
2053,65400,43.35663175016265,13.967139232270657,13287.965386752,41921.4,68462.55,29450.570172218606,1272.0763586857527,0,154394.56191765636,0.122,7978.8,33619.18808234362,33619.18808234362,17.881239048922552
2054,64800,43.845085230969424,14.605709824333116,13472.697724415999,43416.0,69632.55,29607.68056005206,1322.47499492518,0,157451.40327939324,0.106,6868.8,31672.346720606747,31672.346720606747,16.746890182014024
2055,64200,44.37174690956409,15.22958685751464,13653.059615999999,44779.5,70802.55,29789.993046519197,1370.309214378661,0,160395.41187689785,0.09,5778.0,29819.138123102137,29819.138123102137,15.676581062333106
2056,63600,44.94866883539362,15.835096942094992,13829.014386431998,46014.6,71972.55,30006.927062068964,1415.2682482758632,0,163238.35969677684,0.074,4706.4,28047.790303223148,28047.790303223148,14.66273972434656
2057,63000,45.58790305790502,16.418566688353938,14000.525360639998,47124.0,73142.55,30267.51155074822,1457.0545520494484,0,165991.64146343764,0.058,3654.0,26346.908536562347,26346.908536562347,13.698194426734709
2058,62500,46.30150162654522,16.976322706571242,14190.260279999999,48187.5,74117.55,30629.39199739753,1497.7802537410553,0,168622.48253113858,0.042,2625.0,24745.06746886141,24745.06746886141,12.796907996642359
2059,62000,47.10151659076123,17.504691607026672,14376.444848639998,49135.0,75092.55,31053.96938646715,1534.9363194534817,0,171192.90055456062,0.026,1612.0,23187.64944543937,23187.64944543937,11.92899672597869
2060,61600,48.0,18.0,14582.721753599999,50050.0,75872.55,31600.800000000003,1570.8000000000013,0,173676.87175360002,0.01,616.0,21699.67824639997,21699.67824639997,11.106593010471304
