年份,粗钢产量,短流程占比,氢冶金占比,绿电降碳潜力,低碳工艺降碳潜力,产量变化降碳,短流程降碳,氢冶金降碳,原料优化降碳,技术减排总量,目标碳强度,目标排放,CCUS原始,CCUS拦截,CCUS占比
2024,100509,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.95,195992.55,0.0,0.0,
2025,96081,11.5,1.2,587.4237169185002,64.054,8634.6,1945.64025,28.824300000000022,0,11260.5422669185,1.954,187742.274,-3010.2662669185083,0.0,0.0
2026,94000,13.0,1.4,1150.3991659999997,187.99999999999997,12692.55,3807.0000000000005,56.40000000000004,0,17894.349166,1.923,180762.0,-2663.7991660000116,0.0,0.0
2027,92500,14.099934938191282,1.5601740403383213,1699.53501375,370.0,15617.55,5119.793754066363,77.72414809694214,0,22884.602915913303,1.891,174917.5,-1809.5529159133148,0.0,0.0
2028,91000,15.0,1.7,2231.231366,606.6666666666667,18542.55,6142.5,95.55000000000007,0,27618.498032666666,1.86,169260.0,-885.9480326666671,0.0,0.0
2029,89500,15.975260247234875,1.8468038386467145,2745.4404687499996,895.0000000000002,21467.55,7219.608193721537,113.68341533832151,0,32441.282077809858,1.829,163695.5,-144.2320778098656,0.0,0.0
2030,88000,17.0,2.0,3242.114568,1232.0000000000002,24392.55,8316.0,132.0000000000001,0,37314.664568,1.798,158224.0,453.88543199998094,453.88543199998094,1.2017549839747121
2031,86800,17.99463630448927,2.155247885491217,3759.6646605055994,1753.3600000000001,26732.55,9368.114821600526,150.41327469095657,0,41764.10275679709,1.76,152768.0,1460.4472432028851,1460.4472432028851,3.378744817940004
2032,85600,18.96489785296031,2.3210982433311647,4263.8550600128,2448.1600000000003,29072.55,10359.835958880934,169.6290144437217,0,46314.03003333746,1.722,147403.2,2275.3199666625005,2275.3199666625005,4.6827544856280285
2033,84400,19.93784124918673,2.5093246584255042,4754.594384467199,3308.4800000000005,31412.55,11323.17631932336,191.08050175666898,0,50989.88120554723,1.684,142129.6,2873.06879445276,2873.06879445276,5.334035351670788
2034,83200,20.940523096942094,2.731700715679896,5231.791251814399,4326.400000000001,33752.549999999996,12288.395542485361,216.1162493168512,0,55815.25304361661,1.646,136947.19999999998,3230.096956383408,3230.096956383408,5.470535709219112
2035,82000,22.0,3.0,5695.3542800000005,5494.0,36092.549999999996,13284.0,246.00000000000023,0,60811.904279999995,1.607,131774.0,3406.6457200000004,3406.6457200000004,5.304768980302422
2036,81200,23.134558230318806,3.3224567338972024,6344.914375519999,6820.8,37652.549999999996,14398.102732075475,282.8752301886795,0,65499.24233778415,1.516,123099.2,7394.107662215843,7394.107662215843,10.143734184552972
2037,80500,24.327402732595967,3.69314769030579,6993.619462199999,8291.5,39017.549999999996,15570.304919648668,325.19758360442444,0,70198.17196545308,1.424,114632.0,11162.378034546913,11162.378034546913,13.719644268072075
2038,79800,25.55296811971373,4.102610279765778,7634.410331520001,9895.2,40382.549999999996,16755.2125553676,371.382450487964,0,75038.75533737557,1.333,106373.4,14580.394662624429,14580.394662624429,16.26928470379872
2039,79200,26.785689004554328,4.541381912817176,8277.62487552,11642.400000000001,41552.549999999996,17947.25868366949,420.7161712426809,0,79840.54973043216,1.241,98287.20000000001,17864.800269567815,17864.800269567815,18.284362391176963
2040,78600,28.0,5.0,8914.477949999999,13519.2,42722.549999999996,19099.800000000003,471.6000000000004,0,84727.62795,1.15,90390.0,20874.922049999994,20874.922049999994,19.767441269173894
