年份,粗钢产量,短流程占比,氢冶金占比,长流程占比,目标碳强度,短流程变化率,氢冶金变化率,碳强度变化率,短流程加速度,氢冶金加速度
2024,100509,10.0,1.0,0.89,1.95,,,,,
2025,96081,10.33333333333333,1.133333333333333,0.8853333333333334,1.954,0.3333333333333304,0.13333333333333308,0.20512820512821328,,
2026,94000,10.66666666666667,1.266666666666667,0.8806666666666666,1.923,0.33333333333333925,0.13333333333333397,-1.5864892528147378,8.881784197001252e-15,8.881784197001252e-16
2027,92500,11.0,1.4,0.876,1.891,0.3333333333333304,0.13333333333333286,-1.6640665626625029,-8.881784197001252e-15,-1.1102230246251565e-15
2028,91000,11.33333333333333,1.533333333333333,0.8713333333333334,1.86,0.3333333333333304,0.13333333333333308,-1.6393442622950727,0.0,2.220446049250313e-16
2029,89500,11.66666666666667,1.666666666666667,0.8666666666666666,1.829,0.33333333333333925,0.13333333333333397,-1.6666666666666718,8.881784197001252e-15,8.881784197001252e-16
2030,88000,12.0,1.8,0.862,1.798,0.3333333333333304,0.13333333333333308,-1.6949152542372836,-8.881784197001252e-15,-8.881784197001252e-16
2031,86800,12.8,2.04,0.8516,1.76,0.8000000000000007,0.24,-2.1134593993325956,0.46666666666667034,0.10666666666666691
2032,85600,13.6,2.28,0.8412,1.722,0.7999999999999989,0.23999999999999977,-2.1590909090909105,-1.7763568394002505e-15,-2.220446049250313e-16
2033,84400,14.4,2.52,0.8308,1.684,0.8000000000000007,0.2400000000000002,-2.2067363530778206,1.7763568394002505e-15,4.440892098500626e-16
2034,83200,15.2,2.76,0.8204,1.646,0.7999999999999989,0.23999999999999977,-2.256532066508321,-1.7763568394002505e-15,-4.440892098500626e-16
2035,82000,16.0,3.0,0.8099999999999999,1.607,0.8000000000000007,0.2400000000000002,-2.3693803159173688,1.7763568394002505e-15,4.440892098500626e-16
2036,81200,17.2,3.6,0.792,1.516,1.1999999999999993,0.6000000000000001,-5.66272557560672,0.3999999999999986,0.3599999999999999
2037,80500,18.4,4.2,0.774,1.424,1.1999999999999993,0.6000000000000001,-6.068601583113464,0.0,0.0
2038,79800,19.6,4.8,0.756,1.333,1.2000000000000028,0.5999999999999996,-6.39044943820225,3.552713678800501e-15,-4.440892098500626e-16
2039,79200,20.8,5.4,0.738,1.241,1.1999999999999993,0.6000000000000005,-6.90172543135783,-3.552713678800501e-15,8.881784197001252e-16
2040,78600,22.0,6.0,0.72,1.15,1.1999999999999993,0.5999999999999996,-7.332796132151509,0.0,-8.881784197001252e-16
2041,78000,23.0,6.5,0.7050000000000001,1.075,1.0,0.5,-6.521739130434778,-0.1999999999999993,-0.09999999999999964
2042,77400,24.0,7.0,0.69,1.0,1.0,0.5,-6.976744186046513,0.0,0.0
2043,76800,25.0,7.5,0.675,0.925,1.0,0.5,-7.499999999999996,0.0,0.0
2044,76200,26.0,8.0,0.66,0.85,1.0,0.5,-8.108108108108114,0.0,0.0
2045,75600,27.0,8.5,0.645,0.775,1.0,0.5,-8.823529411764696,0.0,0.0
2046,75000,28.0,9.0,0.63,0.7,1.0,0.5,-9.677419354838722,0.0,0.0
2047,74500,29.0,9.5,0.615,0.625,1.0,0.5,-10.71428571428571,0.0,0.0
2048,74000,30.0,10.0,0.6,0.55,1.0,0.5,-11.99999999999999,0.0,0.0
2049,73500,31.0,10.5,0.585,0.475,1.0,0.5,-13.636363636363647,0.0,0.0
2050,73000,32.0,11.0,0.57,0.4,1.0,0.5,-15.78947368421052,0.0,0.0
2051,72300,33.0,11.4,0.5559999999999999,0.365,1.0,0.40000000000000036,-8.750000000000002,0.0,-0.09999999999999964
2052,71600,34.0,11.8,0.5419999999999999,0.33,1.0,0.40000000000000036,-9.589041095890405,0.0,0.0
2053,70900,35.0,12.2,0.528,0.295,1.0,0.3999999999999986,-10.60606060606062,0.0,-1.7763568394002505e-15
2054,70200,36.0,12.6,0.514,0.26,1.0,0.40000000000000036,-11.864406779661007,0.0,1.7763568394002505e-15
2055,69500,37.0,13.0,0.5,0.225,1.0,0.40000000000000036,-13.461538461538458,0.0,0.0
2056,68800,38.0,13.4,0.486,0.19,1.0,0.40000000000000036,-15.555555555555555,0.0,0.0
2057,68200,39.0,13.8,0.472,0.155,1.0,0.40000000000000036,-18.42105263157895,0.0,0.0
2058,67600,40.0,14.2,0.45799999999999996,0.12,1.0,0.3999999999999986,-22.580645161290324,0.0,-1.7763568394002505e-15
2059,67100,41.0,14.6,0.44400000000000006,0.085,1.0,0.40000000000000036,-29.166666666666664,0.0,1.7763568394002505e-15
2060,66600,42.0,15.0,0.43000000000000005,0.05,1.0,0.40000000000000036,-41.17647058823529,0.0,0.0
