0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
钢铁行业减碳基准路径 - 适度情景,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
基准年2024 | 碳强度1.95 tCO2/t | CCUS百万吨起步 | 2024-2060逐年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
指标,公式说明,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,,,Step 2: 基准年参数,
Step 1: 宏观经济假设,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,参数名称,参数值
GDP增长率(%),国家统计局/IFS-CGE,4.9,4.5,4.3,4.1,3.9,3.7,3.5,3.3,3.1,3,2.8,2.7,2.5,2.4,2.2,2.1,2,1.8,1.7,1.6,1.5,1.5,1.3,1.2,1.1,1,1,0.8,0.7,0.6,0.6,0.5,0.4,0.4,0.3,0.3,0.2,,,基准年,2024
实际GDP(2020价万亿),支出法GDP,124.92,130.54,135.627666872074,140.913620508368,146.405588938615,152.111601384834,158.04,162.748904063458,167.598112970493,172.591807194706,177.734291769616,183.03,187.130140285199,191.322129722769,195.608025868354,199.989932369863,204.47,207.272656009724,210.113727829635,212.993742022559,215.913232368884,218.872739965488,221.872813326025,224.914008482589,227.996889088765,231.1220265241,234.29,235.41536136499,236.546128160009,237.682326348874,238.82398202011,239.971121387554,241.123770790954,242.281956696579,243.445705697818,244.6150445158,245.79,,,粗钢产量(万吨),"100,509"
人口(亿人),联合国中位预测,14.08,14.08,14.0539034418663,14.0278552523652,14.0018553418479,13.9759036208318,13.95,13.9097686160443,13.8696532582,13.8296535918514,13.7897692833476,13.75,13.6996323454979,13.6494491928591,13.5994498662344,13.5496336922503,13.5,13.434592209784,13.3695013217176,13.3047258004033,13.2402641178822,13.1761147535987,13.1122761943641,13.0487469343215,12.9855254749095,12.9226103248274,12.86,12.7829557644941,12.7063731008563,12.6302492438105,12.5545814446473,12.4793669711248,12.4046031073698,12.3302871537803,12.2564164269271,12.1829882594578,12.11,,,碳排放总量(万吨CO2),"195,992"
全国CO2排放(亿吨),IFS-CGE模型,106.5,108,110,112,115,117,118,117,115.5,113.5,111,109,106.5,103.5,100,96,92,87.5,83,78.5,74,69.5,65,60.5,56,51.5,47,43,39,35.5,32,29,26.5,24.5,23,22,21,,,吨钢碳排放强度(tCO2/t),1.95
吨钢综合能耗(kgce/t),2025+1.9%: 产品结构调整+超低排放+入炉矿品位下降,1.85,1.88515,1.87572425,1.860718456,1.84211127144,1.82000593618272,1.79270584713998,1.76581525943288,1.73932803054139,1.71323811008326,1.68753953843202,1.66222644535554,1.64227972801127,1.62257237127513,1.60310150281983,1.58386428478599,1.56802564193814,1.55234538551875,1.53682193166357,1.52145371234693,1.50928208264815,1.49720782598697,1.48523016337907,1.47334832207204,1.46450823213961,1.45572118274677,1.44698685565029,1.43975192137204,1.43255316176518,1.42539039595635,1.41826344397657,1.41259039020066,1.40694002863986,1.4013122685253,1.39710833171973,1.39291700672457,1.38873825570439,,,,
